id_interaksi,id_mahasiswa,id_konten,waktu_akses,durasi_tonton,feedback,device,status
INT0001,MHS248,KNT021,2025-02-19 21:38:10,32,Kurang,Laptop,Belum Selesai
INT0002,MHS040,KNT177,2024-12-26 00:29:45,28,Sangat Membantu,Laptop,Belum Selesai
INT0003,MHS185,KNT200,2024-12-24 06:19:14,15,Bermanfaat,Laptop,Selesai
INT0004,MHS129,KNT123,2025-05-13 16:16:16,100,Bermanfaat,Tablet,Belum Selesai
INT0005,MHS127,KNT035,2025-05-03 14:41:30,82,Bermanfaat,Tablet,Selesai
INT0006,MHS254,KNT129,2025-04-12 13:06:52,38,Kurang,Laptop,Belum Selesai
INT0007,MHS101,KNT155,2025-01-05 02:25:50,116,Kurang,Laptop,Selesai
INT0008,MHS235,KNT121,2025-01-11 16:14:20,91,Bermanfaat,Tablet,Selesai
INT0009,MHS055,KNT183,2025-04-03 03:18:26,18,Kurang,Laptop,Selesai
INT0010,MHS070,KNT167,2025-03-16 19:55:57,60,Sangat Membantu,Tablet,Selesai
INT0011,MHS156,KNT096,2024-11-24 12:39:05,73,Sangat Membantu,Tablet,Selesai
INT0012,MHS004,KNT048,2025-05-07 03:32:30,7,Sangat Membantu,Laptop,Selesai
INT0013,MHS203,KNT100,2024-12-27 01:11:00,5,Sangat Membantu,Laptop,Belum Selesai
INT0014,MHS171,KNT126,2025-03-13 20:34:18,55,Sangat Membantu,HP,Selesai
INT0015,MHS195,KNT122,2025-04-05 20:32:29,19,Kurang,Laptop,Selesai
INT0016,MHS169,KNT036,2024-11-23 02:14:48,6,Kurang,HP,Belum Selesai
INT0017,MHS226,KNT042,2025-04-07 00:16:33,26,Sangat Membantu,Laptop,Selesai
INT0018,MHS172,KNT050,2025-05-02 15:56:46,88,Bermanfaat,HP,Belum Selesai
INT0019,MHS221,KNT058,2025-02-06 01:10:34,66,Kurang,Tablet,Belum Selesai
INT0020,MHS070,KNT009,2025-05-06 16:22:13,63,Bermanfaat,HP,Belum Selesai
INT0021,MHS154,KNT105,2025-04-12 03:51:30,93,Sangat Membantu,Tablet,Belum Selesai
INT0022,MHS165,KNT196,2025-04-10 07:53:54,56,Sangat Membantu,HP,Belum Selesai
INT0023,MHS103,KNT004,2025-01-23 19:25:47,116,Sangat Membantu,Tablet,Belum Selesai
INT0024,MHS246,KNT070,2025-01-29 08:45:41,89,Bermanfaat,Laptop,Selesai
INT0025,MHS161,KNT106,2025-03-29 11:29:44,100,Sangat Membantu,HP,Selesai
INT0026,MHS091,KNT057,2025-01-04 05:30:31,82,Bermanfaat,HP,Belum Selesai
INT0027,MHS204,KNT191,2025-03-15 18:44:22,97,Bermanfaat,Laptop,Selesai
INT0028,MHS164,KNT172,2025-05-11 15:30:19,67,Kurang,Tablet,Selesai
INT0029,MHS150,KNT052,2025-02-23 23:12:40,43,Sangat Membantu,Tablet,Belum Selesai
INT0030,MHS252,KNT194,2025-01-26 23:49:28,84,Sangat Membantu,Laptop,Selesai
INT0031,MHS295,KNT053,2025-03-24 18:40:54,109,Kurang,HP,Selesai
INT0032,MHS125,KNT017,2025-01-29 16:11:51,83,Bermanfaat,HP,Selesai
INT0033,MHS167,KNT046,2025-05-07 19:25:47,51,Sangat Membantu,HP,Belum Selesai
INT0034,MHS193,KNT113,2025-04-22 07:27:16,93,Sangat Membantu,HP,Belum Selesai
INT0035,MHS144,KNT158,2025-03-22 02:19:56,91,Kurang,Laptop,Selesai
INT0036,MHS202,KNT126,2025-05-03 08:38:54,93,Sangat Membantu,Laptop,Selesai
INT0037,MHS187,KNT177,2025-05-11 01:28:55,91,Bermanfaat,HP,Selesai
INT0038,MHS059,KNT084,2024-11-29 13:28:15,55,Sangat Membantu,Tablet,Selesai
INT0039,MHS289,KNT118,2025-03-10 14:09:53,107,Sangat Membantu,Tablet,Belum Selesai
INT0040,MHS103,KNT064,2025-05-14 08:51:18,43,Kurang,Laptop,Selesai
INT0041,MHS280,KNT110,2024-12-07 17:15:33,16,Sangat Membantu,HP,Selesai
INT0042,MHS093,KNT104,2025-04-18 23:00:21,21,Kurang,Laptop,Selesai
INT0043,MHS282,KNT199,2025-03-07 06:46:53,22,Bermanfaat,Tablet,Selesai
INT0044,MHS014,KNT011,2025-05-09 06:29:59,6,Kurang,Laptop,Belum Selesai
INT0045,MHS237,KNT156,2025-05-04 23:51:27,29,Kurang,Tablet,Belum Selesai
INT0046,MHS108,KNT189,2025-05-20 04:55:02,19,Kurang,Laptop,Belum Selesai
INT0047,MHS225,KNT098,2025-04-06 13:29:26,109,Sangat Membantu,HP,Selesai
INT0048,MHS150,KNT185,2025-05-05 21:41:22,7,Kurang,Laptop,Belum Selesai
INT0049,MHS036,KNT081,2025-03-13 15:09:59,94,Kurang,Tablet,Selesai
INT0050,MHS210,KNT101,2024-12-06 22:07:23,29,Kurang,HP,Selesai
INT0051,MHS256,KNT157,2025-03-05 22:07:29,114,Sangat Membantu,HP,Selesai
INT0052,MHS072,KNT191,2025-04-18 22:30:42,8,Sangat Membantu,HP,Belum Selesai
INT0053,MHS156,KNT147,2024-12-03 08:39:55,31,Bermanfaat,Tablet,Selesai
INT0054,MHS124,KNT153,2025-02-25 21:10:54,66,Kurang,Tablet,Selesai
INT0055,MHS130,KNT138,2025-03-02 01:36:01,88,Sangat Membantu,Tablet,Selesai
INT0056,MHS079,KNT135,2025-02-16 03:04:22,23,Bermanfaat,Tablet,Belum Selesai
INT0057,MHS217,KNT165,2025-03-28 07:04:55,88,Kurang,Laptop,Belum Selesai
INT0058,MHS194,KNT181,2024-12-14 13:41:19,35,Kurang,Tablet,Selesai
INT0059,MHS038,KNT010,2024-11-24 18:58:50,60,Kurang,Tablet,Belum Selesai
INT0060,MHS230,KNT134,2024-12-03 07:46:16,112,Bermanfaat,HP,Belum Selesai
INT0061,MHS246,KNT028,2025-03-20 18:49:14,85,Sangat Membantu,Laptop,Selesai
INT0062,MHS299,KNT116,2024-11-20 18:44:09,114,Bermanfaat,HP,Selesai
INT0063,MHS206,KNT117,2025-02-05 18:40:49,106,Bermanfaat,Laptop,Belum Selesai
INT0064,MHS274,KNT011,2025-03-11 17:39:10,73,Sangat Membantu,Tablet,Belum Selesai
INT0065,MHS260,KNT063,2025-05-08 20:47:03,29,Bermanfaat,Tablet,Selesai
INT0066,MHS215,KNT133,2025-04-29 04:57:10,16,Bermanfaat,HP,Belum Selesai
INT0067,MHS279,KNT138,2024-12-13 08:27:42,43,Bermanfaat,Laptop,Selesai
INT0068,MHS019,KNT102,2025-01-28 20:01:03,103,Sangat Membantu,Tablet,Selesai
INT0069,MHS185,KNT189,2025-03-23 12:01:05,64,Bermanfaat,Tablet,Selesai
INT0070,MHS275,KNT011,2024-12-17 17:27:12,23,Bermanfaat,Tablet,Selesai
INT0071,MHS044,KNT143,2025-05-18 20:55:21,65,Sangat Membantu,Laptop,Belum Selesai
INT0072,MHS056,KNT100,2025-02-11 21:47:51,59,Kurang,Tablet,Belum Selesai
INT0073,MHS128,KNT133,2024-12-09 04:57:57,7,Sangat Membantu,Tablet,Selesai
INT0074,MHS182,KNT196,2025-02-09 02:26:52,19,Kurang,Laptop,Belum Selesai
INT0075,MHS086,KNT162,2025-01-16 06:46:33,26,Bermanfaat,Laptop,Selesai
INT0076,MHS023,KNT013,2025-01-05 15:05:12,120,Kurang,Laptop,Selesai
INT0077,MHS289,KNT049,2025-05-10 23:30:22,24,Sangat Membantu,Tablet,Belum Selesai
INT0078,MHS205,KNT075,2025-02-08 03:08:54,99,Sangat Membantu,HP,Selesai
INT0079,MHS170,KNT113,2025-04-19 08:05:59,94,Sangat Membantu,Laptop,Selesai
INT0080,MHS221,KNT102,2025-04-29 12:01:16,61,Bermanfaat,Tablet,Belum Selesai
INT0081,MHS055,KNT078,2025-05-04 00:01:42,67,Kurang,Laptop,Selesai
INT0082,MHS006,KNT199,2025-02-16 11:42:31,65,Kurang,HP,Selesai
INT0083,MHS051,KNT074,2024-12-15 05:19:49,7,Sangat Membantu,HP,Selesai
INT0084,MHS133,KNT119,2024-12-07 08:32:14,115,Sangat Membantu,Laptop,Belum Selesai
INT0085,MHS114,KNT043,2025-01-23 08:14:17,62,Sangat Membantu,HP,Selesai
INT0086,MHS262,KNT109,2025-03-16 16:34:18,79,Sangat Membantu,Laptop,Selesai
INT0087,MHS266,KNT076,2025-04-15 04:28:49,36,Sangat Membantu,Tablet,Belum Selesai
INT0088,MHS286,KNT157,2025-02-05 03:09:52,30,Bermanfaat,HP,Belum Selesai
INT0089,MHS298,KNT014,2025-05-10 22:39:43,42,Kurang,HP,Selesai
INT0090,MHS295,KNT177,2025-02-17 09:08:08,77,Bermanfaat,Laptop,Selesai
INT0091,MHS114,KNT133,2025-02-09 22:00:55,111,Sangat Membantu,Laptop,Selesai
INT0092,MHS229,KNT037,2025-05-04 04:05:43,111,Bermanfaat,Tablet,Selesai
INT0093,MHS192,KNT119,2025-04-15 11:27:52,55,Sangat Membantu,Laptop,Selesai
INT0094,MHS201,KNT166,2025-01-29 12:11:40,11,Bermanfaat,Tablet,Belum Selesai
INT0095,MHS238,KNT116,2025-04-20 01:49:13,47,Sangat Membantu,Tablet,Selesai
INT0096,MHS257,KNT024,2025-05-07 16:08:47,6,Kurang,Tablet,Selesai
INT0097,MHS078,KNT185,2025-02-09 00:26:36,18,Sangat Membantu,Laptop,Belum Selesai
INT0098,MHS177,KNT129,2024-12-28 20:37:31,85,Sangat Membantu,Laptop,Selesai
INT0099,MHS013,KNT029,2025-03-06 04:58:44,113,Sangat Membantu,HP,Selesai
INT0100,MHS248,KNT047,2025-01-07 11:35:48,96,Kurang,Laptop,Selesai
INT0101,MHS054,KNT200,2025-01-23 13:53:39,60,Bermanfaat,HP,Selesai
